data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.289892
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:001, data loss:0.779469
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.045835
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:002, data loss:0.570684
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.019085
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:003, data loss:0.337710
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.011314
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:004, data loss:0.123546
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.008280
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:005, data loss:0.046970
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005847
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:006, data loss:0.021648
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.005364
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:007, data loss:0.006306
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003750
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:008, data loss:0.004464
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002886
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:009, data loss:0.003650
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002315
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:010, data loss:0.002967
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001974
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:011, data loss:0.002476
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001795
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:012, data loss:0.002628
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001608
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:013, data loss:0.002368
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001397
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:014, data loss:0.002136
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001407
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:015, data loss:0.001818
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001144
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:016, data loss:0.002161
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001450
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:017, data loss:0.002390
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001596
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:018, data loss:0.001635
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001437
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:019, data loss:0.002203
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001253
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:020, data loss:0.001939
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001097
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:021, data loss:0.001875
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001222
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:022, data loss:0.001425
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001243
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:023, data loss:0.001669
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001105
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:024, data loss:0.001533
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001065
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:025, data loss:0.001276
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000714
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:026, data loss:0.001005
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000693
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:027, data loss:0.000833
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000674
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:028, data loss:0.001716
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001204
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:029, data loss:0.001496
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001108
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:030, data loss:0.001423
