data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.262710
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:001, data loss:0.519223
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.099313
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:002, data loss:0.560967
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.059313
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:003, data loss:0.597587
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.036141
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:004, data loss:0.594458
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.027756
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:005, data loss:0.571000
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.020906
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:006, data loss:0.536757
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.016044
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:007, data loss:0.498248
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012009
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:008, data loss:0.456555
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.009533
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:009, data loss:0.404124
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.008016
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:010, data loss:0.345780
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006151
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:011, data loss:0.284832
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.005905
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:012, data loss:0.233583
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004433
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:013, data loss:0.188813
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003364
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:014, data loss:0.144142
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003293
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:015, data loss:0.105959
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002572
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:016, data loss:0.076268
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002646
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:017, data loss:0.055063
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002021
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:018, data loss:0.043884
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001660
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:019, data loss:0.038378
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001723
