data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.349989
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:001, data loss:0.830253
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.059352
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:002, data loss:0.720284
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.029356
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:003, data loss:0.609709
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.021280
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:004, data loss:0.460590
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.011876
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:005, data loss:0.330721
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.009159
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:006, data loss:0.176900
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.006521
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:007, data loss:0.095739
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005221
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:008, data loss:0.044014
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003703
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:009, data loss:0.016565
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002996
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:010, data loss:0.013341
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002418
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:011, data loss:0.003969
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002047
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:012, data loss:0.004348
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001731
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:013, data loss:0.002173
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001537
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:014, data loss:0.002566
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001476
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:015, data loss:0.001638
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001262
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:016, data loss:0.001860
