data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.566441
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.111540
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.073044
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.055746
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.061651
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.026025
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.031927
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.006130
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.023082
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.013094
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015940
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.002154
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.009312
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.001168
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006820
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.003163
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004793
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.001783
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003467
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.002801
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002650
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.001562
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002571
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.002393
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001892
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.001715
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001787
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.001954
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001573
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.001667
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001588
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.001519
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001492
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.002237
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001492
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.001871
