data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.460274
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:001, data loss:0.105743
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.072388
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:002, data loss:0.050547
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.071736
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:003, data loss:0.016114
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.029103
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:004, data loss:0.016090
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.026718
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:005, data loss:0.007070
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.013129
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:006, data loss:0.003136
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010083
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:007, data loss:0.002916
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007235
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:008, data loss:0.001776
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005196
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:009, data loss:0.001455
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003360
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:010, data loss:0.001372
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002904
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:011, data loss:0.001880
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002466
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:012, data loss:0.001356
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002251
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:013, data loss:0.001829
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002175
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:014, data loss:0.001525
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001771
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:015, data loss:0.001389
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001776
