data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.319709
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:001, data loss:0.035459
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.059897
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:002, data loss:0.063496
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.050279
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:003, data loss:0.004282
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.028365
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:004, data loss:0.016129
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.019412
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:005, data loss:0.003008
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008019
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:006, data loss:0.003154
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.007256
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:007, data loss:0.003757
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.004421
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:008, data loss:0.000985
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003880
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:009, data loss:0.002566
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002687
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:010, data loss:0.001555
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002110
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:011, data loss:0.001159
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001728
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:012, data loss:0.001873
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001401
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:013, data loss:0.000912
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001288
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:014, data loss:0.001407
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001347
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:015, data loss:0.002532
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001311
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:016, data loss:0.001378
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001148
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:017, data loss:0.000723
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001047
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:018, data loss:0.001375
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001210
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:019, data loss:0.002364
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000940
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:020, data loss:0.002303
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000943
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:021, data loss:0.001444
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000843
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:022, data loss:0.000913
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000796
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:023, data loss:0.001468
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000804
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:024, data loss:0.001963
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000739
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:025, data loss:0.001160
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000710
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:026, data loss:0.000917
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000662
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:027, data loss:0.001059
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000637
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:028, data loss:0.001769
