data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.725649
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.373041
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.334022
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.153930
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.181783
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.166462
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.194987
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.157739
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.145492
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.055955
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.056411
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.017603
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.057579
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.046231
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.071968
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.019777
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.031681
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.022532
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.024357
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.032693
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.025039
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.013759
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.023946
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.006842
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.020040
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.007801
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.009225
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.010343
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.006770
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.003367
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.005846
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.000994
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008547
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.001322
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.009449
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.003557
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.005852
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:019, data loss:0.009037
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.006035
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:020, data loss:0.005438
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.003383
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:021, data loss:0.000814
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.003854
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:022, data loss:0.000758
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003187
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:023, data loss:0.005989
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003053
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:024, data loss:0.009438
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003166
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:025, data loss:0.002750
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002487
