data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.458489
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.201397
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.186467
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.069573
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.106933
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.092466
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.114451
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.062897
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.065806
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.010855
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.032616
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.037640
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.061750
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.028358
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.039137
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.011545
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.028379
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.032971
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.036044
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.013709
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.017798
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.003180
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.021116
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.010323
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.021879
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.001605
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.011490
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.007240
