data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.291069
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:001, data loss:1.127774
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.040185
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.679178
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.017892
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.300878
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.010624
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.121490
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.007289
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.060107
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005390
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.015029
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.003663
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.013309
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.002900
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.006498
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002272
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.003965
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.001761
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.003662
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001747
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.002425
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001498
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.001843
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001285
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.002051
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001424
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.001262
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001080
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.001315
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001165
