data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.569504
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:001, data loss:0.253499
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.208113
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:002, data loss:0.093588
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.086372
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:003, data loss:0.053545
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.068173
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:004, data loss:0.029040
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.033463
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:005, data loss:0.005359
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.024704
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:006, data loss:0.015316
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.023501
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:007, data loss:0.007489
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010415
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:008, data loss:0.001878
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008050
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:009, data loss:0.002278
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006370
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:010, data loss:0.004040
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004636
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:011, data loss:0.001749
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003420
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:012, data loss:0.001750
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002556
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:013, data loss:0.001702
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002028
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:014, data loss:0.000675
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001897
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:015, data loss:0.001792
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001506
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:016, data loss:0.000658
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001341
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:017, data loss:0.001509
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001260
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:018, data loss:0.000714
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001265
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:019, data loss:0.001522
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001078
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:020, data loss:0.000610
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001016
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:021, data loss:0.001188
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000894
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:022, data loss:0.000906
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000942
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:023, data loss:0.000741
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000957
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:024, data loss:0.001170
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000958
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:025, data loss:0.000969
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000872
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:026, data loss:0.000510
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000758
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:027, data loss:0.000867
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000732
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:028, data loss:0.000992
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000717
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:029, data loss:0.000584
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000654
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:030, data loss:0.001083
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000688
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:031, data loss:0.000914
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000601
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:032, data loss:0.000575
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000681
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:033, data loss:0.000959
