data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.408954
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.057748
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.071647
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.073927
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.066930
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.006803
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.038778
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.029101
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.033347
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.002628
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.021758
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.007247
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.017284
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.001170
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.013639
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.003007
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008800
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.000854
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.007384
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.001999
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005059
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.001137
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003607
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.002085
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002923
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.001024
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002196
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.000832
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001943
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.002131
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001762
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.001906
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001447
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.001476
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001234
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.000873
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001353
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:019, data loss:0.001804
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001181
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:020, data loss:0.002645
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001237
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:021, data loss:0.002031
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001247
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:022, data loss:0.001218
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001091
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:023, data loss:0.001322
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000947
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:024, data loss:0.000862
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000953
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:025, data loss:0.000879
