data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.633587
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.295059
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.266166
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.099597
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.142646
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.147267
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.167682
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.101785
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.104701
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.011192
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.048677
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.052355
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.091932
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.053397
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.067855
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.011734
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.036066
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.027840
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.042503
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.027355
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.032392
