data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.440956
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:001, data loss:1.207262
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.040820
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:002, data loss:1.052890
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.021678
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.575209
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.013188
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.221981
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.007052
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.080399
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005979
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.033268
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.005159
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.011359
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003035
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.005500
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002365
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.003442
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.001931
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.002601
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001772
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.001966
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001484
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.001666
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001634
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.001748
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001483
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.001994
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001608
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.001028
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001163
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.001516
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000985
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.001043
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001046
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.001072
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001032
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.000984
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001070
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.000897
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000782
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.000646
