data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.240804
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:001, data loss:0.961508
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.038901
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:002, data loss:0.780492
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.021706
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:003, data loss:0.446406
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.011493
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:004, data loss:0.188663
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.008186
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:005, data loss:0.086184
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005936
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:006, data loss:0.040604
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004426
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:007, data loss:0.018682
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003809
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:008, data loss:0.006739
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003259
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:009, data loss:0.005485
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002545
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:010, data loss:0.003000
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002033
