data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.336776
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.729327
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.049231
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.564871
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.028690
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.467285
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.018080
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.379331
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.012404
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.242819
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008469
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.132952
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.006466
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.060409
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.004882
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.034781
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003446
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.027136
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002912
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.016131
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002347
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:011, data loss:0.014085
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001932
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:012, data loss:0.007724
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001741
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:013, data loss:0.006902
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001462
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:014, data loss:0.004423
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001690
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:015, data loss:0.003938
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001427
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:016, data loss:0.002874
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001337
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:017, data loss:0.002565
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001097
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:018, data loss:0.001827
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001042
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:019, data loss:0.001408
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000815
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:020, data loss:0.001370
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000806
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:021, data loss:0.001406
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000756
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:022, data loss:0.001294
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000767
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:023, data loss:0.001321
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000586
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:024, data loss:0.001190
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000610
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:025, data loss:0.001119
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000623
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:026, data loss:0.001315
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000746
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:027, data loss:0.001055
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000556
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:028, data loss:0.001208
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000611
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:029, data loss:0.000935
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000735
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:030, data loss:0.001074
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000805
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:031, data loss:0.001058
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000625
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:032, data loss:0.001263
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000587
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:033, data loss:0.000968
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000531
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:034, data loss:0.000963
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001000
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:035, data loss:0.001152
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000662
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:036, data loss:0.001545
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000825
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:037, data loss:0.000984
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000629
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:038, data loss:0.000882
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000629
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:039, data loss:0.000890
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000375
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:040, data loss:0.000869
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000469
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:041, data loss:0.000888
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000426
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:042, data loss:0.000845
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000447
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:043, data loss:0.000781
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000379
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:044, data loss:0.000828
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000368
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:045, data loss:0.000872
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000305
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:046, data loss:0.000769
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000363
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:047, data loss:0.000632
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000380
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:048, data loss:0.000738
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000383
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:049, data loss:0.000827
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000343
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:050, data loss:0.000730
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000345
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:051, data loss:0.000647
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000377
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:052, data loss:0.000654
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000391
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:053, data loss:0.000767
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000360
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:054, data loss:0.000928
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000408
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:055, data loss:0.000743
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000327
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:056, data loss:0.000631
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000282
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:057, data loss:0.000537
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000246
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:058, data loss:0.000562
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000266
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:059, data loss:0.000524
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:060, data loss:0.000367
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:060, data loss:0.000705
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:061, data loss:0.000426
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:061, data loss:0.000657
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:062, data loss:0.000430
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:062, data loss:0.000539
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:063, data loss:0.000372
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:063, data loss:0.000683
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:064, data loss:0.000538
