data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.416780
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:001, data loss:1.088750
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.086863
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:002, data loss:0.987320
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.053751
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:003, data loss:0.881810
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.034999
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:004, data loss:0.781064
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024081
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:005, data loss:0.683372
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.018818
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:006, data loss:0.577748
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.014020
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:007, data loss:0.464284
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011252
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:008, data loss:0.363270
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.009036
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:009, data loss:0.285266
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006704
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:010, data loss:0.224250
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006281
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:011, data loss:0.165910
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.005319
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:012, data loss:0.113503
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004165
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:013, data loss:0.083635
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003686
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:014, data loss:0.061713
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003098
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:015, data loss:0.042080
