data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.429869
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.608174
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.050726
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.404119
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.025632
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.205511
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.015663
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.081750
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.011818
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.026047
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008509
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.010591
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.005845
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.006084
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.004998
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.005901
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003476
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.003968
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002742
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.003569
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002547
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.002827
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001993
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.002912
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001884
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.002483
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002174
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.002586
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002261
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.002872
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001936
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.002226
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002086
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.002271
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001778
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.002262
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001592
