data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.583539
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:001, data loss:0.251334
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.193105
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:002, data loss:0.063517
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.075749
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:003, data loss:0.070807
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.079635
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:004, data loss:0.026859
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.026355
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:005, data loss:0.005122
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.024492
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:006, data loss:0.013324
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.018687
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:007, data loss:0.009113
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008658
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:008, data loss:0.005565
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006913
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:009, data loss:0.003117
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004594
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:010, data loss:0.003543
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003504
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:011, data loss:0.002345
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004063
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:012, data loss:0.001932
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003102
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:013, data loss:0.002971
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002286
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:014, data loss:0.002244
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001938
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:015, data loss:0.002923
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001905
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:016, data loss:0.001810
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001600
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:017, data loss:0.001790
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001420
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:018, data loss:0.001666
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001526
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:019, data loss:0.001774
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001323
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:020, data loss:0.001689
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001109
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:021, data loss:0.001600
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001228
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:022, data loss:0.002119
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001066
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:023, data loss:0.001372
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001030
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:024, data loss:0.001957
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001023
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:025, data loss:0.001151
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000944
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:026, data loss:0.001540
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000831
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:027, data loss:0.001688
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000875
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:028, data loss:0.001339
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000831
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:029, data loss:0.001186
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000774
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:030, data loss:0.001437
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000735
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:031, data loss:0.001211
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000725
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:032, data loss:0.001062
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000631
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:033, data loss:0.001085
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000609
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:034, data loss:0.001546
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000610
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:035, data loss:0.001250
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000590
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:036, data loss:0.000722
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000584
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:037, data loss:0.000906
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000605
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:038, data loss:0.001118
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000570
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:039, data loss:0.001296
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000609
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:040, data loss:0.001355
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000483
