data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.429644
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:001, data loss:0.904006
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.057752
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:002, data loss:0.848401
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.032662
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:003, data loss:0.745493
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.021112
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:004, data loss:0.573147
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.013382
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:005, data loss:0.377257
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.009323
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:006, data loss:0.187722
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.006825
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:007, data loss:0.086866
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005462
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:008, data loss:0.046782
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004422
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:009, data loss:0.030525
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003541
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:010, data loss:0.016211
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003255
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:011, data loss:0.010833
2026-07-13 13:00 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002622
2026-07-13 13:00 - function:valid - INFO - [Valid] epoch:012, data loss:0.007948
