data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.249419
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.698886
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.035953
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.539687
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.017255
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.292881
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.010816
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.113934
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.008368
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.066411
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.006501
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.020532
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004337
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.017241
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003495
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.006320
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003228
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.006888
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003015
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.003417
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001957
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.002571
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001553
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.002334
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002458
