data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.069850
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.571015
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.485331
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.210424
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.221686
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.106854
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.167139
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.161052
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.181735
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.127981
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.118192
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.036389
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.046620
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.023587
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.058634
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.050514
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.072899
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.022151
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.033186
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.007711
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.017517
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.024150
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.022037
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.019482
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.016971
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.005124
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.016720
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.005534
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.017896
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.002066
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.007902
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.005531
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.006443
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.006456
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.005266
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.001792
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.005764
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:019, data loss:0.000687
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.006362
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:020, data loss:0.000678
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.006242
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:021, data loss:0.002822
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.005684
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:022, data loss:0.004774
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004476
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:023, data loss:0.001701
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003831
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:024, data loss:0.000410
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003428
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:025, data loss:0.000515
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002672
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:026, data loss:0.002154
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002180
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:027, data loss:0.002829
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001669
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:028, data loss:0.000821
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001496
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:029, data loss:0.000361
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001505
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:030, data loss:0.001197
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001157
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:031, data loss:0.002682
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001399
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:032, data loss:0.001624
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001266
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:033, data loss:0.000632
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001323
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:034, data loss:0.001002
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001036
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:035, data loss:0.001684
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001057
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:036, data loss:0.001258
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000936
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:037, data loss:0.000741
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000860
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:038, data loss:0.000799
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000898
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:039, data loss:0.001122
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000873
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:040, data loss:0.001094
