data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.379670
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.958222
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.050702
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.888220
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.022409
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.764603
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.015407
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.429492
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.007832
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.150075
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005988
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.050447
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004832
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.017453
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003629
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.008068
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002835
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.004710
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002467
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.003191
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001993
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.003043
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002002
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.002330
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001921
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.002595
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001766
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.001890
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001419
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.001730
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001765
