data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.481194
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:001, data loss:0.211660
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.176808
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:002, data loss:0.080771
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.059942
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:003, data loss:0.024286
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.052642
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:004, data loss:0.032228
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.034622
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:005, data loss:0.004936
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.022178
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:006, data loss:0.010598
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.020701
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:007, data loss:0.006966
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010917
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:008, data loss:0.001988
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.007336
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:009, data loss:0.003553
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006587
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:010, data loss:0.003567
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005189
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:011, data loss:0.002518
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003422
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:012, data loss:0.001823
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002875
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:013, data loss:0.001903
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002492
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:014, data loss:0.000944
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002363
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:015, data loss:0.002476
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002018
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:016, data loss:0.000864
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002008
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:017, data loss:0.002312
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001713
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:018, data loss:0.001666
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001605
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:019, data loss:0.000906
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001548
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:020, data loss:0.002019
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001400
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:021, data loss:0.001936
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001393
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:022, data loss:0.001043
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001352
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:023, data loss:0.000980
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001158
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:024, data loss:0.001472
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001205
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:025, data loss:0.001509
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001077
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:026, data loss:0.001545
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001187
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:027, data loss:0.001303
