data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000852
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:036, data loss:0.000947
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000862
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:037, data loss:0.000689
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000495
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:038, data loss:0.000663
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000452
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:039, data loss:0.000624
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000600
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:040, data loss:0.000641
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000605
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:041, data loss:0.001656
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000872
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:042, data loss:0.000750
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000701
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:043, data loss:0.001253
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.001034
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:044, data loss:0.000819
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.001096
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:045, data loss:0.001375
