data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.164933
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:001, data loss:0.894045
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.024171
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:002, data loss:0.564044
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.013435
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:003, data loss:0.258481
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.007988
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:004, data loss:0.120212
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.006337
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:005, data loss:0.029929
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.004087
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:006, data loss:0.010596
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.003067
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:007, data loss:0.004558
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.002477
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:008, data loss:0.003159
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.001839
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:009, data loss:0.002106
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.001558
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:010, data loss:0.002061
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001364
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:011, data loss:0.001681
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001236
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:012, data loss:0.001359
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001230
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:013, data loss:0.001435
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.000854
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:014, data loss:0.001426
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.000856
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:015, data loss:0.001095
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001016
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:016, data loss:0.000990
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001072
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:017, data loss:0.001103
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001006
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:018, data loss:0.000923
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000901
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:019, data loss:0.001206
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001189
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:020, data loss:0.000915
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001003
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:021, data loss:0.001716
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001692
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:022, data loss:0.003603
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.002144
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:023, data loss:0.002736
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.002282
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:024, data loss:0.001109
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001186
