data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.171629
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:001, data loss:1.433956
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.151673
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:002, data loss:1.073747
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.047274
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.581582
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.032205
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.320007
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.016617
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.144789
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.012256
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.051830
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.009530
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.023777
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006910
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.011550
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006443
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.008694
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005552
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.006143
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003629
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.004202
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002730
