data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.277915
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.015104
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.063093
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.034266
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.039674
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.017023
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.033974
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.006202
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020012
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.005859
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015415
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.001911
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012123
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.001675
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008907
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.001925
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.007051
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.000377
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004786
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.001110
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003719
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.000288
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002582
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.000893
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002031
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.000862
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001557
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.000408
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001448
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.000550
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001040
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.001323
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000987
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.000979
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000935
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.000728
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000817
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:019, data loss:0.000976
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000823
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:020, data loss:0.000825
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000804
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:021, data loss:0.000468
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000687
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:022, data loss:0.000468
