data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.561030
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.307494
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.263899
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.108458
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.121339
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.105818
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.140468
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.117321
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.113296
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.033560
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.039483
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.012198
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.041481
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.042136
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.052666
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.013885
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.022070
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.012198
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.019368
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.027801
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.021214
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.010592
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.008825
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.002754
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.014849
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.006415
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.014397
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.000817
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.005022
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.009296
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.007020
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.012444
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.007288
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.003714
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.003793
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.000844
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.005226
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:019, data loss:0.001582
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.005667
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:020, data loss:0.000556
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.002608
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:021, data loss:0.003987
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.003494
